iter	Passed	Remaining
0	0	81
1	1	74
2	2	67
3	2	59
4	3	60
5	3	60
6	4	60
7	5	57
8	5	56
9	6	55
10	6	54
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	46
20	12	45
21	12	45
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	18	40
31	18	39
32	19	39
33	20	38
34	20	38
35	21	38
36	22	38
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	31
47	28	30
48	28	29
49	29	29
50	29	28
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	33	25
57	33	24
58	34	23
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	44	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	47	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
